C9orf152,0.218835299,0.346071947,0.078900763,0.229453042,0,0,0.126738949
RPS11,0.129013348,0.144865568,0.161315812,0.140276262,0.139158567,0.141245366,0.144125078
ELMO2,0.209124109,0.164581485,0.05313458,0.175239344,0.084328037,0.178742556,0.134849889
CREB3L1,0.001517591,0.006291058,0,0.003490098,0.031432867,0.957268386,0
PNMA1,0.331823086,0.118282668,0.033142564,0.066252528,0.141517126,0.262202206,0.046779822
MMP2,0.039109825,0.001670153,0.000675934,0.029906338,0.259533022,0.669104727,0
TMEM216,0.166614577,0.176501756,0.114208387,0.157936396,0.156627547,0.1801825,0.047928836
TRAF3IP2-AS1,0.108524704,0.174660847,0.176074261,0.100988746,0.176664765,0.107581118,0.155505558
LRRC37A5P,0.00941449,0.073523277,0,0.405033426,0,0,0.512028807
LOC653712,0.07056778,0.134462783,0.194805959,0.103138616,0.147369651,0.110294442,0.239360768
C10orf90,0.846164303,0.013081608,0.002133709,0.057278348,0.07309805,0.008243982,0
ZHX3,0.120351606,0.147559915,0.156343451,0.075585575,0.221232123,0.182654145,0.096273185
ERCC5,0.122380848,0.200168479,0.145897348,0.112689831,0.099758625,0.163362861,0.155742006
GPR98,0.220974396,0.136853927,0.059498602,0.016277509,0,0.566395566,0
RXFP3,0.642097807,0.106279392,0,0.251622801,0,0,0
CTAGE10P,0.203792899,0.41756395,0.277244073,0.101399078,0,0,0
APBB2,0.134490246,0.051057547,0.048755363,0.033816078,0.358768669,0.321828898,0.0512832
KLHL13,0.130720295,0.028360123,0.017826051,0.070324785,0.104708429,0.426997116,0.221063202
KRTAP10-8,0,0.068023195,0,0.644011489,0,0.287965315,0
PDCL3,0.212915257,0.110769202,0.078137827,0.166205725,0.10739597,0.162665664,0.161910355
AEN,0.238814788,0.127678898,0.135673805,0.049746061,0.152765472,0.231471049,0.063849927
FRG2,0.083169149,0.138308504,0.166464047,0.121460254,0.332946768,0.038946514,0.118704763
DECR1,0.171280304,0.111126175,0.08314029,0.210427716,0.174588346,0.147950905,0.101486265
SALL1,0.070891419,0.199238908,0.124418168,0,0,0.605451506,0
GGT3P,0.249145428,0.430986644,0.089701978,0.23016595,0,0,0
CADM4,0.382979774,0.027257369,0.006773157,0.100889908,0.407858065,0,0.074241727
RPS18,0.148759089,0.144117858,0.154964602,0.12662765,0.139164999,0.143016718,0.143349084
SLC10A7,0.151006212,0.11372746,0.096405988,0.161502311,0.189646951,0.167148787,0.120562291
CFHR5,0.055316635,0.537477646,0.109066048,0.298139671,0,0,0
OR2K2,0.141097196,0.336481235,0.522421569,0,0,0,0
BRIX1,0.32343781,0.105665884,0.096093708,0.069848947,0.118175649,0.225926499,0.060851503
MIR378F,0,0,0,0,0,0,0
LMAN1,0.207969098,0.093220659,0.070696827,0.119229202,0.199079492,0.244319723,0.065484998
CHD8,0.137685229,0.159110999,0.147798909,0.10403701,0.196388604,0.149225447,0.105753802
SUMO1,0.20593547,0.112733919,0.088820405,0.141981317,0.164643987,0.180749649,0.105135253
MIR941-2,0,1,0,0,0,0,0
GP1BA,0.005267711,0.015244435,0.014020243,0.017363474,0.477988625,0.470115512,0
MIR1233-2,0,1,0,0,0,0,0
BSN-AS2,0.065676656,0.177842243,0.171130346,0.125852426,0.154130398,0.099095529,0.206272403
BOLA3-AS1,0.164903076,0.162238079,0.148865648,0.091803923,0.154478322,0.149139411,0.128571541
UQCR11,0.184560812,0.124725894,0.093262444,0.161504502,0.156366456,0.150826101,0.128753791
DDB1,0.265635904,0.104155718,0.086365666,0.104100903,0.160084828,0.21216281,0.067494171
MYO9B,0.1256516,0.117146567,0.127017184,0.263916346,0.07349128,0.125673404,0.167103619
MMP7,0.293796582,0.233254003,0.322700043,0.150249373,0,0,0
MIR1976,0,0,0,0,0,0,0
CRNKL1,0.155258958,0.089525228,0.093247311,0.125111894,0.179173116,0.08217451,0.275508983
MIR618,0,0,0,1,0,0,0
XAB2,0.19047761,0.157714669,0.132452367,0.132563186,0.169517026,0.133424485,0.083850657
RTN1,0.078741853,0.007902319,0.025864527,0.816777146,0,0.070714155,0
KLHL14,0.0193786,0.034219784,0.73870385,0.062994333,0.094463677,0,0.050239756
ADAM21P1,0.250057393,0.332929554,0.417013054,0,0,0,0
TBX10,0.757543098,0.242456902,0,0,0,0,0
ZBTB12,0.131111048,0.251561501,0.1462441,0.224830249,0.019561056,0.147203679,0.079488368
UTY,0.164378038,0.245887589,0.225469981,0.124899795,0.053027054,0.032693088,0.153644454
MIR515-2,0,0,0,0,0,0,0
CENPQ,0.200956952,0.083576841,0.089957109,0.080241633,0.13142509,0.383261396,0.030580981
ZAR1L,0.123349531,0.277004006,0.599646463,0,0,0,0
DTNBP1,0.184227097,0.120299339,0.180098017,0.173850052,0.126664175,0.124754167,0.090107153
MIR3156-3,0,0,0,0,0,0,0
KBTBD8,0.022451873,0.139118333,0.535231522,0.129779337,0,0.075873051,0.097545883
ZEB1,0.034095966,0.121528997,0.078561727,0.019138106,0.308333408,0.346947057,0.091394739
ZG16,0.080857617,0.225388228,0.200583993,0.090752113,0.162683413,0.056559042,0.183175595
PRKAG2-AS1,0.141908568,0.052664274,0.091930549,0.222182694,0.060203567,0.348540141,0.082570207
FAT4,0.005041242,0.011595988,0.009568042,0.0012102,0.603716903,0.298865277,0.070002347
LOC728040,0.119709444,0.880290556,0,0,0,0,0
LOC100216546,0.12491154,0.202153108,0.193594494,0.116611074,0.12137065,0.118722984,0.12263615
MIER1,0.126486886,0.155864661,0.100223876,0.100745523,0.149022117,0.183898087,0.18375885
CHD9,0.169662822,0.07966201,0.141237373,0.131580855,0.144994478,0.163739611,0.169122851
STK16,0.233239844,0.136212469,0.126778409,0.082554854,0.118930196,0.187714613,0.114569614
ARID3C,0.300663667,0.012715339,0.686620994,0,0,0,0
TOB2,0.255264793,0.117480804,0.119662423,0.085197109,0.126934753,0.194063999,0.10139612
MIR1246,0,0,0,0,0,0,0
